JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
70116_100|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:25:41|2026-07-19T19:26:14|00:00:33|28|1|sn104|00:35.560|00:15:24|
70116_100.batch|batch|COMPLETED|0:0|2026-07-19T19:25:41|2026-07-19T19:25:41|2026-07-19T19:26:14|00:00:33|28|1|sn104|00:35.559|00:15:24|0.48G
70116_100.extern|extern|COMPLETED|0:0|2026-07-19T19:25:41|2026-07-19T19:25:41|2026-07-19T19:26:14|00:00:33|28|1|sn104|00:00.001|00:15:24|0.00G
70116_1|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn060|00:34.761|00:15:24|
70116_1.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn060|00:34.759|00:15:24|0.48G
70116_1.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn060|00:00.001|00:15:24|0.00G
70116_2|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn150|00:36.437|00:16:20|
70116_2.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn150|00:36.435|00:16:20|0.45G
70116_2.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn150|00:00.001|00:16:20|0.00G
70116_3|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn042|00:34.278|00:15:24|
70116_3.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn042|00:34.276|00:15:24|0.46G
70116_3.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn042|00:00.001|00:15:24|0.00G
70116_4|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn043|00:34.316|00:15:24|
70116_4.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn043|00:34.314|00:15:24|0.47G
70116_4.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:17|00:00:33|28|1|sn043|00:00.001|00:15:24|0.00G
70116_5|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn044|00:35.500|00:15:52|
70116_5.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn044|00:35.499|00:15:52|0.48G
70116_5.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn044|00:00.001|00:15:52|0.00G
70116_6|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn045|00:36.335|00:16:20|
70116_6.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn045|00:36.333|00:16:20|0.49G
70116_6.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn045|00:00.001|00:16:20|0.00G
70116_7|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn022|00:34.841|00:15:52|
70116_7.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn022|00:34.839|00:15:52|0.46G
70116_7.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn022|00:00.001|00:15:52|0.00G
70116_8|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn023|00:35.443|00:15:52|
70116_8.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn023|00:35.441|00:15:52|0.46G
70116_8.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn023|00:00.001|00:15:52|0.00G
70116_9|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:20|00:00:36|28|1|sn024|00:36.522|00:16:48|
70116_9.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:20|00:00:36|28|1|sn024|00:36.520|00:16:48|0.45G
70116_9.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:20|00:00:36|28|1|sn024|00:00.001|00:16:48|0.00G
70116_10|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn025|00:35.035|00:15:52|
70116_10.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn025|00:35.033|00:15:52|0.45G
70116_10.extern|extern|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:18|00:00:34|28|1|sn025|00:00.001|00:15:52|0.00G
70116_11|fra_par_10k|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn026|00:35.821|00:16:20|
70116_11.batch|batch|COMPLETED|0:0|2026-07-19T19:23:44|2026-07-19T19:23:44|2026-07-19T19:24:19|00:00:35|28|1|sn026|00:35.819|00:16:20|0.47G
