superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,968151,1009336,2,3,0.48958653078376746,3870944
1,5,989714,1026154,2,3,0.4909617097944905,3791947
2,4,755744,861451,2,2,0.4673177940817279,3016369
