superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,899713,1137544,2,3,0.44162960294160236,3870782
1,5,1084604,871185,3,2,0.5545608447537029,3757895
2,4,729292,888212,2,2,0.4508749282845668,3050583
