superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,999294,995230,3,2,0.5010187894455018,3772989
1,5,979274,1009538,2,3,0.4923914377025078,3833405
2,4,735041,892173,2,2,0.45171747539045265,3072866
