superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,951028,978167,2,3,0.49296623721293076,3760574
1,5,954311,1116244,2,3,0.4608962331355603,3863168
2,4,808270,802530,2,2,0.5017817233672709,3055518
