superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,931682,1135486,2,3,0.45070453876995,3835648
1,5,950277,953566,2,3,0.49913622079131525,3811571
2,4,831650,807889,2,2,0.5072462442186493,3032041
