superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,939130,1148440,2,3,0.44986754935163853,3880131
1,5,1002751,1002680,3,2,0.500017701930408,3799932
2,4,771728,745821,2,2,0.5085358034567582,2999197
