superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,1135578,869115,3,2,0.5664598020744324,3817115
1,5,885984,1177142,2,3,0.4294376591638126,3823705
2,4,692047,850684,2,2,0.448585657512554,3038440
