superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,1071922,909213,3,2,0.5410645917617931,3785368
1,5,931307,1142438,2,3,0.4490942714750367,3838899
2,4,710380,845290,2,2,0.45663926154004386,3054993
