superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,853244,1119473,2,3,0.43252225230481617,3814372
1,5,1078302,913403,3,2,0.5413964417421254,3801213
2,4,782063,864065,2,2,0.47509245939562417,3063675
