superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,1037795,971276,3,2,0.5165546663109467,3815254
1,5,877145,1098799,2,3,0.4439118719963724,3822351
2,4,798669,826866,2,2,0.49132685546604654,3041655
