superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,1051591,924722,3,2,0.5320973955036474,3794638
1,5,936853,1167367,2,3,0.4452257843761584,3874820
2,4,725165,804852,2,2,0.4739587860788475,3009802
