superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,931046,1140020,2,3,0.44954916936495504,3851146
1,5,1122920,848314,3,2,0.5696533237555764,3787832
2,4,659643,908607,2,2,0.42062362505978,3040282
