superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,848811,1166384,2,3,0.4212053920340215,3904833
1,5,1085862,875159,3,2,0.5537227801232113,3737333
2,4,778936,855398,2,2,0.476607596733593,3037094
