superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,908653,1086615,2,3,0.4554039858304749,3753597
1,5,966298,1068493,2,3,0.47488808432905394,3866672
2,4,838658,741833,2,2,0.5306313038163457,3058991
