superdistrict_id,total_seats,dem_votes,rep_votes,dem_seats,rep_seats,dem_share,population
0,5,927943,1028968,2,3,0.47418763551331666,3799742
1,5,993413,1078156,2,3,0.4795461797314017,3868497
2,4,792253,789817,2,2,0.5007698774390513,3011021
