plan_id,district_id,dem_votes,rep_votes,population,winner
303,0,213181,190430,754588,Democrat
303,1,221048,157528,728630,Democrat
303,2,186020,232736,781248,Republican
303,3,181755,226807,746563,Republican
303,4,235521,177029,790451,Democrat
303,5,126442,304365,760716,Republican
303,6,186336,188162,735798,Republican
303,7,292790,110643,769095,Democrat
303,8,156339,212096,740707,Republican
303,9,169993,169785,744470,Democrat
303,10,203350,182120,730996,Democrat
303,11,180076,273611,800538,Republican
303,12,155493,223189,799481,Republican
303,13,205265,248440,795979,Republican
