plan_id,district_id,dem_votes,rep_votes,population,winner
381,0,151389,199176,735078,Republican
381,1,205786,186589,792867,Democrat
381,2,280295,160474,792304,Democrat
381,3,181447,236793,753808,Republican
381,4,241972,135683,726664,Democrat
381,5,127087,315978,794915,Republican
381,6,206791,182646,755967,Democrat
381,7,164228,226161,780536,Republican
381,8,165280,250999,741050,Republican
381,9,150597,213507,752839,Republican
381,10,176916,225741,757189,Republican
381,11,223787,173313,771425,Democrat
381,12,238178,148334,757557,Democrat
381,13,199856,241547,767061,Republican
