plan_id,district_id,dem_votes,rep_votes,population,winner
411,0,190366,201513,731163,Republican
411,1,170102,229209,727861,Republican
411,2,179878,242163,788080,Republican
411,3,143697,245032,789299,Republican
411,4,238237,139295,725912,Democrat
411,5,200254,240359,771850,Republican
411,6,294817,116600,790777,Democrat
411,7,124776,313076,778572,Republican
411,8,235358,138246,759509,Democrat
411,9,186659,203888,729509,Republican
411,10,161922,193744,752917,Republican
411,11,208512,204398,749871,Democrat
411,12,165658,242498,791058,Republican
411,13,213373,186920,792882,Democrat
