plan_id,district_id,dem_votes,rep_votes,population,winner
470,0,194806,219006,761245,Republican
470,1,262307,141910,768559,Democrat
470,2,171385,244248,780483,Republican
470,3,197962,190251,739130,Democrat
470,4,177511,201299,772030,Republican
470,5,126793,305362,782533,Republican
470,6,266975,111522,746103,Democrat
470,7,161524,211210,757730,Republican
470,8,242113,142277,772366,Democrat
470,9,177594,222533,780195,Republican
470,10,210554,189462,765390,Democrat
470,11,146535,245451,734835,Republican
470,12,201588,245825,780465,Republican
470,13,175962,226585,738196,Republican
