plan_id,dem_seats,rep_seats,dem_seat_share
1,5,9,0.35714285714285715
2,5,9,0.35714285714285715
3,5,9,0.35714285714285715
4,6,8,0.42857142857142855
5,6,8,0.42857142857142855
6,6,8,0.42857142857142855
7,6,8,0.42857142857142855
8,6,8,0.42857142857142855
9,7,7,0.5
10,6,8,0.42857142857142855
11,7,7,0.5
12,6,8,0.42857142857142855
13,6,8,0.42857142857142855
14,6,8,0.42857142857142855
15,6,8,0.42857142857142855
16,6,8,0.42857142857142855
17,6,8,0.42857142857142855
18,6,8,0.42857142857142855
19,6,8,0.42857142857142855
20,6,8,0.42857142857142855
21,6,8,0.42857142857142855
22,6,8,0.42857142857142855
23,6,8,0.42857142857142855
24,6,8,0.42857142857142855
25,6,8,0.42857142857142855
26,6,8,0.42857142857142855
27,6,8,0.42857142857142855
28,6,8,0.42857142857142855
29,6,8,0.42857142857142855
30,6,8,0.42857142857142855
31,6,8,0.42857142857142855
32,6,8,0.42857142857142855
33,6,8,0.42857142857142855
34,6,8,0.42857142857142855
35,6,8,0.42857142857142855
36,6,8,0.42857142857142855
37,6,8,0.42857142857142855
38,6,8,0.42857142857142855
39,6,8,0.42857142857142855
40,6,8,0.42857142857142855
41,6,8,0.42857142857142855
42,6,8,0.42857142857142855
43,6,8,0.42857142857142855
44,6,8,0.42857142857142855
45,6,8,0.42857142857142855
46,6,8,0.42857142857142855
47,6,8,0.42857142857142855
48,6,8,0.42857142857142855
49,6,8,0.42857142857142855
50,6,8,0.42857142857142855
51,6,8,0.42857142857142855
52,6,8,0.42857142857142855
53,6,8,0.42857142857142855
54,6,8,0.42857142857142855
55,6,8,0.42857142857142855
56,6,8,0.42857142857142855
57,6,8,0.42857142857142855
58,6,8,0.42857142857142855
59,6,8,0.42857142857142855
60,6,8,0.42857142857142855
61,6,8,0.42857142857142855
62,6,8,0.42857142857142855
63,6,8,0.42857142857142855
64,6,8,0.42857142857142855
65,6,8,0.42857142857142855
66,6,8,0.42857142857142855
67,6,8,0.42857142857142855
68,6,8,0.42857142857142855
69,6,8,0.42857142857142855
70,6,8,0.42857142857142855
71,6,8,0.42857142857142855
72,6,8,0.42857142857142855
73,6,8,0.42857142857142855
74,6,8,0.42857142857142855
75,6,8,0.42857142857142855
76,6,8,0.42857142857142855
77,6,8,0.42857142857142855
78,6,8,0.42857142857142855
79,6,8,0.42857142857142855
80,6,8,0.42857142857142855
81,6,8,0.42857142857142855
82,6,8,0.42857142857142855
83,5,9,0.35714285714285715
84,5,9,0.35714285714285715
85,5,9,0.35714285714285715
86,5,9,0.35714285714285715
87,5,9,0.35714285714285715
88,6,8,0.42857142857142855
89,6,8,0.42857142857142855
90,6,8,0.42857142857142855
91,6,8,0.42857142857142855
92,6,8,0.42857142857142855
93,6,8,0.42857142857142855
94,6,8,0.42857142857142855
95,6,8,0.42857142857142855
96,6,8,0.42857142857142855
97,6,8,0.42857142857142855
98,6,8,0.42857142857142855
99,6,8,0.42857142857142855
100,6,8,0.42857142857142855
101,6,8,0.42857142857142855
102,5,9,0.35714285714285715
103,6,8,0.42857142857142855
104,6,8,0.42857142857142855
105,6,8,0.42857142857142855
106,6,8,0.42857142857142855
107,6,8,0.42857142857142855
108,6,8,0.42857142857142855
109,6,8,0.42857142857142855
110,6,8,0.42857142857142855
111,6,8,0.42857142857142855
112,6,8,0.42857142857142855
113,5,9,0.35714285714285715
114,5,9,0.35714285714285715
115,5,9,0.35714285714285715
116,5,9,0.35714285714285715
117,5,9,0.35714285714285715
118,5,9,0.35714285714285715
119,5,9,0.35714285714285715
120,5,9,0.35714285714285715
121,5,9,0.35714285714285715
122,5,9,0.35714285714285715
123,6,8,0.42857142857142855
124,6,8,0.42857142857142855
125,6,8,0.42857142857142855
126,6,8,0.42857142857142855
127,7,7,0.5
128,7,7,0.5
129,7,7,0.5
130,7,7,0.5
131,6,8,0.42857142857142855
132,5,9,0.35714285714285715
133,5,9,0.35714285714285715
134,5,9,0.35714285714285715
135,5,9,0.35714285714285715
136,5,9,0.35714285714285715
137,6,8,0.42857142857142855
138,6,8,0.42857142857142855
139,6,8,0.42857142857142855
140,6,8,0.42857142857142855
141,6,8,0.42857142857142855
142,6,8,0.42857142857142855
143,6,8,0.42857142857142855
144,6,8,0.42857142857142855
145,6,8,0.42857142857142855
146,6,8,0.42857142857142855
147,6,8,0.42857142857142855
148,6,8,0.42857142857142855
149,6,8,0.42857142857142855
150,6,8,0.42857142857142855
151,6,8,0.42857142857142855
152,6,8,0.42857142857142855
153,6,8,0.42857142857142855
154,6,8,0.42857142857142855
155,6,8,0.42857142857142855
156,6,8,0.42857142857142855
157,6,8,0.42857142857142855
158,6,8,0.42857142857142855
159,6,8,0.42857142857142855
160,6,8,0.42857142857142855
161,6,8,0.42857142857142855
162,6,8,0.42857142857142855
163,6,8,0.42857142857142855
164,6,8,0.42857142857142855
165,6,8,0.42857142857142855
166,6,8,0.42857142857142855
167,6,8,0.42857142857142855
168,6,8,0.42857142857142855
169,5,9,0.35714285714285715
170,5,9,0.35714285714285715
171,5,9,0.35714285714285715
172,5,9,0.35714285714285715
173,5,9,0.35714285714285715
174,5,9,0.35714285714285715
175,6,8,0.42857142857142855
176,6,8,0.42857142857142855
177,6,8,0.42857142857142855
178,6,8,0.42857142857142855
179,6,8,0.42857142857142855
180,6,8,0.42857142857142855
