plan_id,district_id,dem_votes,rep_votes,population,winner
182,0,181356,219625,759148,Republican
182,1,226429,197506,798468,Democrat
182,2,149636,223090,750748,Republican
182,3,198865,195128,767142,Democrat
182,4,158089,202389,790801,Republican
182,5,150657,255916,783132,Republican
182,6,128721,283950,745853,Republican
182,7,256634,122962,743525,Democrat
182,8,194347,243405,775053,Republican
182,9,259832,144051,743799,Democrat
182,10,158697,241775,771666,Republican
182,11,224693,183763,767457,Democrat
182,12,231860,155248,746078,Democrat
182,13,193793,228133,736390,Republican
