plan_id,district_id,dem_votes,rep_votes,population,winner
720,0,160069,216741,743331,Republican
720,1,149344,235105,783525,Republican
720,2,134045,287141,784696,Republican
720,3,203897,187288,739611,Democrat
720,4,200414,216179,797208,Republican
720,5,142163,283086,770543,Republican
720,6,186629,202552,735811,Republican
720,7,284012,120723,779512,Democrat
720,8,260005,148111,771336,Democrat
720,9,153180,191822,747998,Republican
720,10,262896,140098,781022,Democrat
720,11,202745,178819,746717,Democrat
720,12,191679,228483,726726,Republican
720,13,182531,260793,771224,Republican
