plan_id,district_id,dem_votes,rep_votes,population,winner
292,0,192781,253037,795868,Republican
292,1,236322,140194,734581,Democrat
292,2,186020,232736,781248,Republican
292,3,175711,263303,782114,Republican
292,4,251248,171129,795017,Democrat
292,5,123704,297197,741973,Republican
292,6,174161,210195,746149,Republican
292,7,134258,205825,746972,Republican
292,8,159077,219264,759450,Republican
292,9,211626,191321,753450,Democrat
292,10,203350,182120,730996,Democrat
292,11,168389,157396,731615,Democrat
292,12,291697,124784,783848,Democrat
292,13,205265,248440,795979,Republican
