plan_id,district_id,dem_votes,rep_votes,population,winner
744,0,186029,201241,796785,Republican
744,1,181784,210890,731044,Republican
744,2,134045,287141,784696,Republican
744,3,163336,221336,794477,Republican
744,4,266938,137856,799883,Democrat
744,5,130937,266003,726036,Republican
744,6,218154,208601,799117,Democrat
744,7,146628,233429,768085,Republican
744,8,247712,143769,726517,Democrat
744,9,197629,199682,762100,Republican
744,10,164260,242027,730072,Republican
744,11,273363,102658,740518,Democrat
744,12,202905,245566,771233,Republican
744,13,199889,196742,748697,Democrat
