plan_id,district_id,dem_votes,rep_votes,population,winner
621,0,211400,168110,744321,Democrat
621,1,176465,241944,755768,Republican
621,2,198554,202254,762556,Republican
621,3,157690,234143,745115,Republican
621,4,128678,306177,781742,Republican
621,5,199660,241467,767903,Republican
621,6,158302,235556,773986,Republican
621,7,240448,145233,793495,Democrat
621,8,255683,128127,742051,Democrat
621,9,161400,198218,758780,Republican
621,10,272767,129938,775496,Democrat
621,11,237783,178619,789329,Democrat
621,12,162093,247293,729184,Republican
621,13,152686,239862,759534,Republican
