plan_id,district_id,dem_votes,rep_votes,population,winner
765,0,170493,186585,735903,Republican
765,1,163382,244282,732288,Republican
765,2,136920,296243,798810,Republican
765,3,152744,238457,777351,Republican
765,4,202955,201093,762784,Democrat
765,5,251640,140472,784013,Democrat
765,6,210914,216415,785418,Republican
765,7,163351,216526,800200,Republican
765,8,202749,194251,760438,Democrat
765,9,274809,110343,728421,Democrat
765,10,190295,215114,753605,Republican
765,11,245742,126528,725505,Democrat
765,12,202905,245566,771233,Republican
765,13,144710,265066,763291,Republican
