plan_id,district_id,dem_votes,rep_votes,population,winner
508,0,123973,304609,759048,Republican
508,1,216727,192065,779686,Democrat
508,2,160199,206274,732604,Republican
508,3,136556,249351,727248,Republican
508,4,276767,101172,726754,Democrat
508,5,203310,250299,790611,Republican
508,6,174390,213170,744679,Republican
508,7,209701,189297,775168,Democrat
508,8,174569,242482,770746,Republican
508,9,179311,236488,764756,Republican
508,10,249466,141384,786226,Democrat
508,11,150907,200633,742411,Republican
508,12,187545,223045,785809,Republican
508,13,270188,146672,793514,Democrat
