plan_id,district_id,dem_votes,rep_votes,population,winner
272,0,188076,242129,778880,Republican
272,1,179440,216459,755930,Republican
272,2,235638,131503,726687,Democrat
272,3,157492,228197,796832,Republican
272,4,230813,179695,792696,Democrat
272,5,157073,215567,747255,Republican
272,6,125779,314110,764361,Republican
272,7,268834,145299,789862,Democrat
272,8,182289,222693,773452,Republican
272,9,260162,144057,766615,Democrat
272,10,203350,182120,730996,Democrat
272,11,192373,220237,734964,Republican
272,12,127025,206435,724751,Republican
272,13,205265,248440,795979,Republican
