plan_id,district_id,dem_votes,rep_votes,population,winner
949,0,131297,232825,725380,Republican
949,1,147057,209895,759194,Republican
949,2,259991,151899,777764,Democrat
949,3,175312,237829,778196,Republican
949,4,256006,173708,790072,Democrat
949,5,209499,208971,777830,Democrat
949,6,195038,226212,730223,Republican
949,7,193087,209021,753435,Republican
949,8,172947,227737,788501,Republican
949,9,117134,278487,727274,Republican
949,10,210220,198406,781072,Democrat
949,11,136201,270599,742239,Republican
949,12,244547,144527,750846,Democrat
949,13,265273,126825,797234,Democrat
