plan_id,district_id,dem_votes,rep_votes,population,winner
539,0,151821,276284,798730,Republican
539,1,295076,117282,785029,Democrat
539,2,210435,183044,766670,Democrat
539,3,187839,206984,788540,Republican
539,4,153281,213708,744569,Republican
539,5,193802,228805,735102,Republican
539,6,234098,128793,724916,Democrat
539,7,164547,218740,749402,Republican
539,8,127086,311583,770412,Republican
539,9,179311,236488,764756,Republican
539,10,210343,198841,781019,Democrat
539,11,218023,186152,741430,Democrat
539,12,250729,140093,798877,Democrat
539,13,137218,250144,729808,Republican
