plan_id,district_id,dem_votes,rep_votes,population,winner
290,0,188076,242129,778880,Republican
290,1,236322,140194,734581,Democrat
290,2,186020,232736,781248,Republican
290,3,175711,263303,782114,Republican
290,4,251248,171129,795017,Democrat
290,5,123704,297197,741973,Republican
290,6,174161,210195,746149,Republican
290,7,132459,205066,742063,Republican
290,8,159077,219264,759450,Republican
290,9,211626,191321,753450,Democrat
290,10,203350,182120,730996,Democrat
290,11,174893,169063,753512,Democrat
290,12,291697,124784,783848,Democrat
290,13,205265,248440,795979,Republican
