plan_id,district_id,dem_votes,rep_votes,population,winner
618,0,211400,168110,744321,Democrat
618,1,193229,237522,794141,Republican
618,2,198554,202254,762556,Republican
618,3,157690,234143,745115,Republican
618,4,128678,306177,781742,Republican
618,5,199660,241467,767903,Republican
618,6,158302,235556,773986,Republican
618,7,240448,145233,793495,Democrat
618,8,255683,128127,742051,Democrat
618,9,270363,121885,745610,Democrat
618,10,147040,210693,750293,Republican
618,11,237783,178619,789329,Democrat
618,12,162093,247293,729184,Republican
618,13,152686,239862,759534,Republican
