plan_id,district_id,dem_votes,rep_votes,population,winner
953,0,201255,219503,781274,Republican
953,1,186254,221949,778189,Republican
953,2,270965,106466,729080,Democrat
953,3,136115,225775,759201,Republican
953,4,256006,173708,790072,Democrat
953,5,209499,208971,777830,Democrat
953,6,195038,226212,730223,Republican
953,7,138462,238573,749305,Republican
953,8,172947,227737,788501,Republican
953,9,117134,278487,727274,Republican
953,10,210220,198406,781072,Democrat
953,11,136201,270599,742239,Republican
953,12,218240,173730,747766,Democrat
953,13,265273,126825,797234,Democrat
