plan_id,district_id,dem_votes,rep_votes,population,winner
653,0,230288,143702,737988,Democrat
653,1,163386,239092,744733,Republican
653,2,200035,247185,786855,Republican
653,3,293093,105254,770968,Democrat
653,4,140538,311015,800436,Republican
653,5,166164,243819,780751,Republican
653,6,158302,235556,773986,Republican
653,7,248287,154316,782491,Democrat
653,8,229604,191449,766751,Democrat
653,9,206076,168353,733370,Democrat
653,10,147193,205435,736379,Republican
653,11,161115,201958,770268,Republican
653,12,196172,200458,748847,Republican
653,13,173356,249349,745437,Republican
