plan_id,district_id,dem_votes,rep_votes,population,winner
541,0,126090,311309,770979,Republican
541,1,295076,117282,785029,Democrat
541,2,210435,183044,766670,Democrat
541,3,187839,206984,788540,Republican
541,4,147212,220368,743251,Republican
541,5,193802,228805,735102,Republican
541,6,234098,128793,724916,Democrat
541,7,164547,218740,749402,Republican
541,8,152817,276558,798163,Republican
541,9,185380,229828,766074,Republican
541,10,210343,198841,781019,Democrat
541,11,218023,186152,741430,Democrat
541,12,250729,140093,798877,Democrat
541,13,137218,250144,729808,Republican
