plan_id,district_id,dem_votes,rep_votes,population,winner
563,0,194266,225527,728096,Republican
563,1,247342,148167,754341,Democrat
563,2,167501,242090,769172,Republican
563,3,183219,234862,772774,Republican
563,4,142341,223453,734308,Republican
563,5,127792,313651,780017,Republican
563,6,268418,133024,744462,Democrat
563,7,205177,195251,780450,Democrat
563,8,208736,156348,753840,Democrat
563,9,192691,234614,794361,Republican
563,10,247090,132624,767451,Democrat
563,11,230923,168685,766017,Democrat
563,12,156721,272967,795132,Republican
563,13,141392,215678,738839,Republican
