plan_id,district_id,dem_votes,rep_votes,population,winner
181,0,181356,219625,759148,Republican
181,1,226429,197506,798468,Democrat
181,2,149636,223090,750748,Republican
181,3,198865,195128,767142,Democrat
181,4,194063,237140,775812,Republican
181,5,150657,255916,783132,Republican
181,6,128721,283950,745853,Republican
181,7,256634,122962,743525,Democrat
181,8,158373,208654,790042,Republican
181,9,259832,144051,743799,Democrat
181,10,158697,241775,771666,Republican
181,11,224693,183763,767457,Democrat
181,12,231860,155248,746078,Democrat
181,13,193793,228133,736390,Republican
