plan_id,district_id,dem_votes,rep_votes,population,winner
692,0,160069,216741,743331,Republican
692,1,154172,237732,755459,Republican
692,2,150553,289945,799451,Republican
692,3,217355,174629,745516,Democrat
692,4,139882,292269,791560,Republican
692,5,195769,235691,755120,Republican
692,6,159387,210734,730757,Republican
692,7,258447,128237,743280,Democrat
692,8,284412,132918,786922,Democrat
692,9,156516,195354,765458,Republican
692,10,210622,197019,777041,Democrat
692,11,208302,171707,740280,Democrat
692,12,235282,150892,758144,Democrat
692,13,182841,263073,786941,Republican
