plan_id,district_id,dem_votes,rep_votes,population,winner
156,0,150381,240264,750326,Republican
156,1,161245,263996,798809,Republican
156,2,224513,166310,742612,Democrat
156,3,217442,179976,755077,Democrat
156,4,253185,143934,740042,Democrat
156,5,166159,207262,795515,Republican
156,6,122167,287188,757188,Republican
156,7,259240,137402,761455,Democrat
156,8,188265,241707,775596,Republican
156,9,196610,192204,754322,Democrat
156,10,153247,239427,747316,Republican
156,11,181828,209037,776173,Republican
156,12,236768,140971,740796,Democrat
156,13,202559,247263,784033,Republican
