plan_id,district_id,dem_votes,rep_votes,population,winner
212,0,148159,229643,749900,Republican
212,1,219347,136695,725107,Democrat
212,2,154716,245627,763307,Republican
212,3,254754,141195,725679,Democrat
212,4,229098,167136,743428,Democrat
212,5,142467,259993,757655,Republican
212,6,133354,319978,784996,Republican
212,7,189491,225469,798879,Republican
212,8,198086,200442,794367,Republican
212,9,215198,198132,798873,Democrat
212,10,162554,230508,788669,Republican
212,11,247037,137183,750256,Democrat
212,12,225555,176807,761754,Democrat
212,13,193793,228133,736390,Republican
