plan_id,district_id,dem_votes,rep_votes,population,winner
849,0,161501,213359,734520,Republican
849,1,169034,243512,796138,Republican
849,2,133185,223409,739389,Republican
849,3,143738,267321,759862,Republican
849,4,200988,242766,773245,Republican
849,5,268233,126568,791291,Democrat
849,6,237027,150556,749045,Democrat
849,7,181986,221960,736389,Republican
849,8,242396,122108,746230,Democrat
849,9,155719,253862,765842,Republican
849,10,230850,148175,727508,Democrat
849,11,143007,279669,796000,Republican
849,12,247810,197568,790242,Democrat
849,13,198135,206108,773559,Republican
