plan_id,district_id,dem_votes,rep_votes,population,winner
188,0,181356,219625,759148,Republican
188,1,126156,287112,746776,Republican
188,2,149636,223090,750748,Republican
188,3,254754,141195,725679,Democrat
188,4,158089,202389,790801,Republican
188,5,137174,278978,777581,Republican
188,6,231683,177775,778868,Democrat
188,7,254844,138742,756025,Democrat
188,8,194347,243405,775053,Republican
188,9,208261,193358,791648,Democrat
188,10,169491,235282,795894,Republican
188,11,222165,172609,748571,Democrat
188,12,231860,155248,746078,Democrat
188,13,193793,228133,736390,Republican
