plan_id,district_id,dem_votes,rep_votes,population,winner
117,0,165917,225822,739746,Republican
117,1,236460,158725,760704,Democrat
117,2,168239,237052,776705,Republican
117,3,147538,214881,763154,Republican
117,4,257363,145137,768267,Democrat
117,5,193979,219973,792146,Republican
117,6,150919,253942,771827,Republican
117,7,225276,154209,731942,Democrat
117,8,189943,193551,746422,Republican
117,9,162602,239336,770688,Republican
117,10,118687,298986,755993,Republican
117,11,264383,150986,766999,Democrat
117,12,198747,234785,754013,Republican
117,13,233556,169556,780654,Democrat
