plan_id,district_id,dem_votes,rep_votes,population,winner
130,0,157299,230146,728674,Republican
130,1,234973,156580,749464,Democrat
130,2,170110,216901,784963,Republican
130,3,223673,181909,768822,Democrat
130,4,257363,145137,768267,Democrat
130,5,200726,235800,794960,Republican
130,6,196749,231523,740563,Republican
130,7,198310,176332,739421,Democrat
130,8,152530,213593,773307,Republican
130,9,201201,190388,769008,Democrat
130,10,122933,281551,730423,Republican
130,11,240343,156875,756346,Democrat
130,12,232270,188250,792251,Democrat
130,13,125129,291956,782791,Republican
