plan_id,district_id,dem_votes,rep_votes,population,winner
145,0,150381,240264,750326,Republican
145,1,215495,190747,778685,Democrat
145,2,229747,170475,765091,Democrat
145,3,181374,208961,787727,Republican
145,4,254896,148721,748218,Democrat
145,5,165227,204517,788321,Republican
145,6,119319,276216,739321,Republican
145,7,259240,137402,761455,Democrat
145,8,188029,244876,779946,Republican
145,9,197542,194949,761516,Democrat
145,10,122933,281551,730423,Republican
145,11,175119,196916,741168,Republican
145,12,251748,154083,763030,Democrat
145,13,202559,247263,784033,Republican
