plan_id,district_id,dem_votes,rep_votes,population,winner
334,0,182401,173716,736123,Democrat
334,1,228485,141051,741934,Democrat
334,2,186912,225285,777205,Republican
334,3,158970,240345,745412,Republican
334,4,186254,223196,794528,Republican
334,5,205195,251724,796297,Republican
334,6,183319,234134,793991,Republican
334,7,191183,230778,785843,Republican
334,8,156973,214096,746728,Republican
334,9,222541,161911,746621,Democrat
334,10,199734,187927,729287,Democrat
334,11,292472,120728,791948,Democrat
334,12,197422,186249,727664,Democrat
334,13,121748,305801,765679,Republican
