plan_id,district_id,dem_votes,rep_votes,population,winner
880,0,144388,250365,735424,Republican
880,1,178733,215622,733179,Republican
880,2,135130,284500,756058,Republican
880,3,137888,245466,786150,Republican
880,4,196966,230785,740085,Republican
880,5,258719,139626,796506,Democrat
880,6,240349,160076,750413,Democrat
880,7,230531,178338,765390,Democrat
880,8,289244,122216,789048,Democrat
880,9,165228,234108,772324,Republican
880,10,186945,214938,790797,Republican
880,11,142857,279816,752052,Republican
880,12,207389,146416,732752,Democrat
880,13,199242,194669,779082,Democrat
