plan_id,district_id,dem_votes,rep_votes,population,winner
814,0,178532,244275,776629,Republican
814,1,152003,212596,754029,Republican
814,2,244948,141310,741498,Democrat
814,3,180937,196134,747296,Republican
814,4,203067,251065,790807,Republican
814,5,207879,209437,797271,Republican
814,6,254899,140327,746272,Democrat
814,7,191311,227164,776557,Republican
814,8,279655,114494,783564,Democrat
814,9,134444,224441,745119,Republican
814,10,207026,193059,733682,Democrat
814,11,198295,185664,731719,Democrat
814,12,136371,293665,792914,Republican
814,13,144242,263310,761903,Republican
