plan_id,district_id,dem_votes,rep_votes,population,winner
974,0,211776,178122,737290,Democrat
974,1,171404,254453,799582,Republican
974,2,212438,207637,798320,Democrat
974,3,204951,170479,743750,Democrat
974,4,199048,222847,796632,Republican
974,5,172781,223909,787742,Republican
974,6,117420,277808,734906,Republican
974,7,128654,241818,736200,Republican
974,8,171268,226911,797579,Republican
974,9,193792,223811,724687,Republican
974,10,259094,137582,759734,Democrat
974,11,248661,128702,757745,Democrat
974,12,270777,129084,740941,Democrat
974,13,151545,273778,764152,Republican
