plan_id,district_id,dem_votes,rep_votes,population,winner
893,0,143193,249228,730880,Republican
893,1,181954,231805,759596,Republican
893,2,165033,229400,740436,Republican
893,3,134325,227720,756111,Republican
893,4,196820,230237,738938,Republican
893,5,193134,211556,777348,Republican
893,6,276666,130039,769845,Democrat
893,7,183552,209814,777516,Republican
893,8,243377,167717,786646,Democrat
893,9,135163,290517,769627,Republican
893,10,244669,169135,766185,Democrat
893,11,142857,279816,752052,Republican
893,12,208039,147218,755840,Democrat
893,13,264827,122739,798240,Democrat
