plan_id,district_id,dem_votes,rep_votes,population,winner
36,0,171508,263676,752239,Republican
36,1,149399,233405,737720,Republican
36,2,197846,218354,779721,Republican
36,3,209889,169380,724732,Democrat
36,4,230753,147148,731328,Democrat
36,5,162374,187016,796069,Republican
36,6,200524,244737,775021,Republican
36,7,164503,251959,791132,Republican
36,8,237844,172385,800538,Democrat
36,9,244844,160840,764329,Democrat
36,10,127105,238470,725096,Republican
36,11,206143,190172,765895,Democrat
36,12,278984,144331,784551,Democrat
36,13,131893,275068,750889,Republican
