plan_id,district_id,dem_votes,rep_votes,population,winner
301,0,213181,190430,754588,Democrat
301,1,236322,140194,734581,Democrat
301,2,186020,232736,781248,Republican
301,3,181755,226807,746563,Republican
301,4,147403,218808,798894,Republican
301,5,126442,304365,760716,Republican
301,6,171062,205496,729847,Republican
301,7,292790,110643,769095,Democrat
301,8,156339,212096,740707,Republican
301,9,169993,169785,744470,Democrat
301,10,203350,182120,730996,Democrat
301,11,180076,273611,800538,Republican
301,12,243611,181410,791038,Democrat
301,13,205265,248440,795979,Republican
