plan_id,district_id,dem_votes,rep_votes,population,winner
864,0,170092,216953,730995,Republican
864,1,193568,203889,764546,Republican
864,2,204227,153235,741533,Democrat
864,3,142268,229744,781184,Republican
864,4,196966,230785,740085,Republican
864,5,186750,219084,765370,Republican
864,6,167637,241947,792869,Republican
864,7,148861,257989,771506,Republican
864,8,289244,122216,789048,Democrat
864,9,138580,280573,745590,Republican
864,10,226754,166204,747918,Democrat
864,11,139306,284866,782283,Republican
864,12,234964,166742,732445,Democrat
864,13,274392,122714,793888,Democrat
