plan_id,district_id,dem_votes,rep_votes,population,winner
640,0,154621,201979,760951,Republican
640,1,168089,251415,743796,Republican
640,2,137483,306771,793996,Republican
640,3,223804,176675,773776,Democrat
640,4,203090,251429,793295,Republican
640,5,222978,154686,732866,Democrat
640,6,158302,235556,773986,Republican
640,7,181541,222679,789674,Republican
640,8,271104,142773,768095,Democrat
640,9,206076,168353,733370,Democrat
640,10,277426,131542,777197,Democrat
640,11,153852,216136,766067,Republican
640,12,186590,199921,725817,Republican
640,13,168653,237026,746374,Republican
