plan_id,district_id,dem_votes,rep_votes,population,winner
856,0,161501,213359,734520,Republican
856,1,169034,243512,796138,Republican
856,2,133185,223409,739389,Republican
856,3,168250,237748,800661,Republican
856,4,200988,242766,773245,Republican
856,5,191976,209962,770962,Republican
856,6,228590,152333,730485,Democrat
856,7,181986,221960,736389,Republican
856,8,259338,134905,783617,Democrat
856,9,138580,280573,745590,Republican
856,10,226754,166204,747918,Democrat
856,11,144071,280754,794013,Republican
856,12,234964,166742,732445,Democrat
856,13,274392,122714,793888,Democrat
