plan_id,district_id,dem_votes,rep_votes,population,winner
161,0,150381,240264,750326,Republican
161,1,149898,264908,772162,Republican
161,2,206835,197314,792729,Democrat
161,3,234823,169392,787483,Democrat
161,4,218988,160171,727095,Democrat
161,5,166159,207262,795515,Republican
161,6,119628,284427,738926,Republican
161,7,259240,137402,761455,Democrat
161,8,188265,241707,775596,Republican
161,9,259832,144051,743799,Democrat
161,10,153247,239427,747316,Republican
161,11,181828,209037,776173,Republican
161,12,221926,154316,726652,Democrat
161,13,202559,247263,784033,Republican
