plan_id,district_id,dem_votes,rep_votes,population,winner
693,0,160069,216741,743331,Republican
693,1,154172,237732,755459,Republican
693,2,150553,289945,799451,Republican
693,3,217355,174629,745516,Democrat
693,4,139882,292269,791560,Republican
693,5,195769,235691,755120,Republican
693,6,159387,210734,730757,Republican
693,7,258447,128237,743280,Democrat
693,8,284412,132918,786922,Democrat
693,9,156516,195354,765458,Republican
693,10,258137,161321,799003,Democrat
693,11,208302,171707,740280,Democrat
693,12,187767,186590,736182,Democrat
693,13,182841,263073,786941,Republican
