plan_id,district_id,dem_votes,rep_votes,population,winner
170,0,148373,220356,745649,Republican
170,1,199490,200075,777671,Republican
170,2,166053,206653,796087,Republican
170,3,234823,169392,787483,Democrat
170,4,180737,219793,758418,Republican
170,5,157349,262756,786648,Republican
170,6,128721,283950,745853,Republican
170,7,259240,137402,761455,Democrat
170,8,188265,241707,775596,Republican
170,9,259832,144051,743799,Democrat
170,10,152920,259034,788032,Republican
170,11,222087,169323,749527,Democrat
170,12,221926,154316,726652,Democrat
170,13,193793,228133,736390,Republican
