plan_id,district_id,dem_votes,rep_votes,population,winner
121,0,165917,225822,739746,Republican
121,1,236460,158725,760704,Democrat
121,2,168239,237052,776705,Republican
121,3,181642,191306,727096,Republican
121,4,257363,145137,768267,Democrat
121,5,193979,219973,792146,Republican
121,6,124604,287808,744128,Republican
121,7,252625,151853,751768,Democrat
121,8,155839,217126,782480,Republican
121,9,188917,205470,798387,Republican
121,10,195078,225266,726858,Republican
121,11,237034,153342,747173,Democrat
121,12,122356,308505,783148,Republican
121,13,233556,169556,780654,Democrat
