plan_id,district_id,dem_votes,rep_votes,population,winner
103,0,168222,221905,741433,Republican
103,1,127919,260808,742107,Republican
103,2,168239,237052,776705,Republican
103,3,137040,221204,750873,Republican
103,4,256293,146585,768168,Democrat
103,5,193979,219973,792146,Republican
103,6,219692,185050,785061,Democrat
103,7,250101,143873,733933,Democrat
103,8,162091,268834,765879,Republican
103,9,149238,231609,733923,Republican
103,10,176919,264203,792568,Republican
103,11,238323,163791,763420,Democrat
103,12,220259,166156,741714,Democrat
103,13,245294,165898,791330,Democrat
