plan_id,district_id,dem_votes,rep_votes,population,winner
142,0,195090,205085,766384,Republican
142,1,215495,190747,778685,Democrat
142,2,132319,241962,747253,Republican
142,3,181374,208961,787727,Republican
142,4,254896,148721,748218,Democrat
142,5,165227,204517,788321,Republican
142,6,119319,276216,739321,Republican
142,7,259240,137402,761455,Democrat
142,8,188029,244876,779946,Republican
142,9,197542,194949,761516,Democrat
142,10,122933,281551,730423,Republican
142,11,227838,160608,742948,Democrat
142,12,251748,154083,763030,Democrat
142,13,202559,247263,784033,Republican
