plan_id,district_id,dem_votes,rep_votes,population,winner
941,0,140515,241461,730609,Republican
941,1,159342,227706,768352,Republican
941,2,259991,151899,777764,Democrat
941,3,175921,242304,774711,Republican
941,4,243994,164893,747936,Democrat
941,5,209499,208971,777830,Democrat
941,6,195038,226212,730223,Republican
941,7,178453,192523,731164,Republican
941,8,165469,213313,799870,Republican
941,9,116852,291181,728766,Republican
941,10,210220,198406,781072,Democrat
941,11,136483,257905,740747,Republican
941,12,256559,153342,792982,Democrat
941,13,265273,126825,797234,Democrat
