plan_id,district_id,dem_votes,rep_votes,population,winner
163,0,150381,240264,750326,Republican
163,1,149898,264908,772162,Republican
163,2,206835,197314,792729,Democrat
163,3,234823,169392,787483,Democrat
163,4,218988,160171,727095,Democrat
163,5,166159,207262,795515,Republican
163,6,128394,303557,786569,Republican
163,7,259240,137402,761455,Democrat
163,8,188265,241707,775596,Republican
163,9,259832,144051,743799,Democrat
163,10,153247,239427,747316,Republican
163,11,181828,209037,776173,Republican
163,12,221926,154316,726652,Democrat
163,13,193793,228133,736390,Republican
